StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       28,      01,   200807,   4.24,   74.4,    -.9,    .75,   -.65,   -.67,    291,      0,   -.13,   -.34,   -.23,    .62,    .45,    .42,   1.02,   63.1,   85.6,
       28,      01,   200808,   2.57,   69.4,  -1.44,  -1.44,   -1.9,  -1.44,    149,     13,   -.93,   -.72,   -.82,   -.51,    .17,      0,    .89,     57,   81.8,
       28,      01,   200809,   6.98,   65.5,    .66,   -.63,   1.98,    .52,     70,     55,   1.24,    .41,    .24,   -.15,    .39,    .79,   1.02,   54.9,   76.1,
       28,      01,   200810,   3.76,     51,    .87,    .87,    .83,    .87,      0,    434,    .21,    .98,    .37,    .08,    .64,    .51,    .78,     39,   63.1,
       28,      01,   200811,   2.83,   41.9,    .48,    .48,    -.9,    .48,      0,    693,   -.36,   -.14,    .63,    -.1,   -.03,     .5,    .52,   33.8,   50.1,
       28,      01,   200812,   6.61,   33.4,   1.42,   1.42,   2.96,   1.42,      0,    980,   1.54,    .84,    .67,    .51,    .22,    .64,     .9,   24.6,   42.1,
       28,      01,   200901,   2.51,   23.5,    -.3,    .97,   -.89,     .4,      0,   1286,   -.52,    .85,    .46,    .44,    .24,     .7,    .82,   15.2,   31.8,
       28,      01,   200902,    .73,   32.4,  -1.24,  -1.24,  -2.93,  -1.24,      0,    913,  -3.09,  -1.87,   -.05,    .43,   -.17,   -.07,    .72,   22.3,   42.5,
       28,      01,   200903,    1.8,   38.9,   -1.9,   -1.9,  -2.34,   -1.9,      0,    809,  -1.43,  -3.09,  -2.99,    -.7,   -.47,   -.62,    .53,   28.3,   49.6,
       28,      01,   200904,   3.11,   51.1,  -2.12,  -2.12,  -1.26,  -2.12,      0,    417,   -.35,  -1.26,  -2.17,   -.95,   -.54,   -.56,   -.03,   39.6,   62.6,
       28,      01,   200905,   4.78,   59.8,    .09,  -1.81,    .28,  -1.62,     20,    181,    .51,    .11,   -.62,   -.54,   -.03,   -.49,     .2,   48.8,   70.7,
       28,      01,   200906,   7.63,   66.1,   1.44,   1.44,   4.07,   1.44,     72,     39,   1.65,   1.45,   1.09,   -.39,    .13,    .08,    .51,   56.9,   75.2,
