StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX,Wet/Dry Period
28,1,200005,4.63,60.4,0.03,-1.67,0.08,-0.94,24,167,0.43,0.28,0.21,-0.38,0.68,-0.38,-0.88,49.1,71.8,-1
28,1,200006,5.03,68.2,0.37,-1.16,1.04,-0.13,113,17,0.63,0.66,0.49,0.09,-0.35,0.13,-1.03,57.6,78.7,0
28,1,200007,6.06,69,0.95,0.95,1.85,0.95,136,12,0.71,0.81,0.79,0.43,-0.05,0.83,-0.65,58.7,79.3,0
28,1,200008,5.15,69,1.2,1.2,1.06,1.2,139,15,0.47,0.68,0.77,0.65,0.18,0.87,-0.45,59.4,78.5,0
28,1,200009,4.19,62.4,1.22,1.22,0.43,1.22,28,106,0.27,0.35,0.6,0.7,0.41,0.01,-0.24,51.5,73.2,0
28,1,200010,1.02,52.8,-0.67,-0.67,-2.02,-0.67,0,378,-1.6,-0.82,-0.38,0.24,0.02,-0.28,-0.45,40.7,64.8,0
28,1,200011,3.11,41.4,-0.87,-0.87,-0.79,-0.87,0,708,-0.19,-1.21,-0.84,0.05,0.05,-0.26,-0.32,32.3,50.5,0
28,1,200012,4.6,26.8,-0.42,-0.42,1.07,-0.42,0,1184,0.54,0.17,-0.68,-0.02,0.25,0.05,0.09,17.9,35.8,0
28,1,200101,2.72,27.4,-0.6,-0.6,-0.67,-0.6,0,1166,-0.35,0.15,-0.04,-0.45,0.14,-0.02,-0.29,18.1,36.8,0
28,1,200102,2.58,32.1,-0.69,-0.69,-0.46,-0.69,0,921,-0.23,-0.57,-0.03,-0.78,-0.03,0.01,-0.33,23.3,41,0
28,1,200103,5.62,36.1,0.67,0.67,2.01,0.67,0,896,1.11,0.71,0.35,-0.32,0.06,0.3,-0.3,27.9,44.4,0
28,1,200104,1.95,49.9,-0.76,-0.76,-2.29,-0.76,0,453,-1.35,0.08,-0.15,-0.14,-0.54,0.01,-0.35,38,61.8,0
28,1,200105,3.84,60.4,-0.9,-0.9,-0.63,-0.9,24,167,0.02,-0.86,0.02,-0.08,-0.68,-0.12,-0.36,48.5,72.3,0
28,1,200106,5.77,69,-0.23,-0.23,1.72,0.57,132,12,0.95,0.64,-0.07,0.1,-0.32,-0.06,0.08,57.5,80.5,0
28,1,200107,2.97,69.5,-0.52,-0.52,-0.94,-0.52,149,9,-0.83,0.06,-0.03,-0.17,-0.19,-0.48,0.27,57.6,81.3,0
28,1,200108,3.13,73.9,-1.02,-1.02,-1.65,-1.02,276,0,-0.52,-1.01,-0.33,-0.35,-0.39,-0.74,0.11,62.7,85.2,0
28,1,200109,4.2,63.2,-0.94,-0.94,-0.07,-0.88,37,91,0.27,-0.25,-0.7,-0.63,-0.46,-0.68,-0.56,51,75.3,0
28,1,200110,0.72,53.6,-1.9,-1.9,-3.17,-1.9,0,357,-1.97,-0.95,-1.13,-0.85,-0.88,-0.77,-0.81,40.8,66.4,-1
28,1,200111,1.16,46.7,-2.88,-2.88,-3.55,-2.88,0,549,-1.59,-2.76,-1.59,-1.42,-1.23,-1.22,-0.98,35,58.3,-1
28,1,200112,2.44,39,-3.52,-3.52,-2.81,-3.52,0,806,-0.78,-1.67,-2.69,-2.08,-2,-1.61,-0.92,29.5,48.5,-2
28,1,200201,1.91,34.8,-3.94,-3.94,-2.35,-3.94,0,936,-1.1,-1.3,-2.24,-2.05,-1.74,-1.69,-1,25.9,43.6,-2
28,1,200202,0.85,36.5,-4.57,-4.57,-3.09,-4.57,0,798,-2.7,-2.21,-2.46,-2.72,-2.35,-2.03,-1.13,25.5,47.5,-3
28,1,200203,3.76,40.6,-4.23,-4.23,-0.42,-4.23,0,756,0.07,-1.2,-1.83,-3.09,-2.56,-2.61,-1.16,30.1,51.1,-3
28,1,200204,4.12,52,-3.91,-3.91,-0.35,-3.91,0,390,0.29,0.2,-0.7,-2.16,-2,-1.87,-1.08,40.1,63.9,-2
28,1,200205,5.15,56.9,-3.2,-3.2,0.94,-2.77,8,259,0.68,0.63,0.52,-0.93,-1.78,-1.58,-1.06,45.1,68.7,-2
28,1,200206,5.27,68.5,-2.45,-2.45,1.25,-1.49,120,15,0.74,0.89,0.83,-0.26,-1.62,-1.62,-1.09,56.9,80.2,-1
28,1,200207,1.54,74.7,-3.12,-3.12,-2.75,-3.12,301,0,-1.8,-0.65,-0.2,-0.66,-1.58,-1.75,-1.63,62.9,86.4,-2
28,1,200208,3.93,74.3,-3.28,-3.28,-1.45,-3.28,288,0,-0.07,-1.3,-0.66,-0.25,-1.18,-1.64,-1.82,62.3,86.2,-2
28,1,200209,4.47,66.1,-3.03,-3.03,-0.26,-3.03,80,47,0.38,0.09,-0.81,-0.08,-0.8,-1.71,-1.77,54.4,77.8,-2
28,1,200210,6.81,51.1,1.03,-1.68,3.09,-0.36,0,431,1.32,1.12,0.77,0.43,0.04,-0.74,-1.13,41.4,60.8,-1
28,1,200211,4.69,41.2,1.21,-1.23,0.85,0.42,0,714,0.67,1.35,1.21,0.44,0.55,-0.22,-0.96,32.4,50,0
28,1,200212,4.57,30.8,1.43,-0.75,1.04,1.21,0,1060,0.53,0.77,1.38,0.33,0.69,0.12,-0.87,22.8,38.8,0
28,1,200301,2.77,23.7,1.08,-0.88,-0.62,0.75,0,1280,-0.31,0.16,0.49,0.81,0.54,0.22,-0.82,16.1,31.3,0
28,1,200302,4.25,25.7,1.55,1.55,1.76,1.55,0,1100,0.98,0.35,0.57,1.3,0.57,0.68,-0.66,17.4,34.1,1
